id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:7349,Nationaltheatret,59.914463,10.732905,NSR:Quay:7349,116
NSR:Quay:7311,Wessels plass,59.912175,10.738983,NSR:Quay:7311,117
NSR:Quay:7230,Kvadraturen,59.910564,10.743312,NSR:Quay:7230,589
NSR:Quay:7158,Jernbanetorget,59.909041,10.749527,NSR:Quay:7158,118
NSR:Quay:101465,Hausmanns bru,59.914722,10.760357,NSR:Quay:101465,119
NSR:Quay:101670,Herslebs gate,59.919413,10.762222,NSR:Quay:101670,120
NSR:Quay:101742,Sofienbergparken,59.923591,10.761315,NSR:Quay:101742,121
NSR:Quay:11839,Birkelunden,59.926576,10.761205,NSR:Quay:11839,122
NSR:Quay:11857,Dælenenga,59.928028,10.766545,NSR:Quay:11857,123
NSR:Quay:11748,Sæveruds plass,59.935152,10.774761,NSR:Quay:11748,124
NSR:Quay:11768,Haarklous plass,59.93781,10.774155,NSR:Quay:11768,125
NSR:Quay:11760,Nordpolen skole,59.940538,10.772352,NSR:Quay:11760,126
NSR:Quay:11777,Sandaker,59.942034,10.770383,NSR:Quay:11777,590
NSR:Quay:11786,Lillo gård,59.944905,10.772181,NSR:Quay:11786,591
NSR:Quay:11161,Nydalen T,59.948633,10.769834,NSR:Quay:11161,127
NSR:Quay:11164,Tamburveien,59.951098,10.768879,NSR:Quay:11164,128
NSR:Quay:11923,Lysaker bru,59.914488,10.640345,NSR:Quay:11923,592
NSR:Quay:11909,CC vest,59.918419,10.636745,NSR:Quay:11909,593
NSR:Quay:11905,Lilleaker,59.92057,10.636045,NSR:Quay:11905,129
NSR:Quay:11913,Vækerøveien,59.923549,10.643217,NSR:Quay:11913,130
NSR:Quay:11986,Husebyveien,59.934827,10.676109,NSR:Quay:11986,594
NSR:Quay:11958,Smestad,59.937365,10.682662,NSR:Quay:11958,75
NSR:Quay:11207,Valle Hovin,59.918749,10.808447,NSR:Quay:11207,595
NSR:Quay:11202,Teisenkrysset,59.916755,10.812148,NSR:Quay:11202,32
NSR:Quay:11194,Brynsengveien,59.91149,10.815678,NSR:Quay:11194,131
NSR:Quay:11184,Brynseng T,59.909288,10.814181,NSR:Quay:11184,132
NSR:Quay:10887,Høyenhall T,59.906962,10.819127,NSR:Quay:10887,133
NSR:Quay:10853,Manglerud T,59.898321,10.813639,NSR:Quay:10853,134
NSR:Quay:10822,Ryen T,59.895262,10.805231,NSR:Quay:10822,135
