from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17,distance_m,speed_m_s,speed_km_h,tripsPerDay
NSR:Quay:11486,NSR:Quay:11457,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,729.9147062839231,12.165245104732053,43.79488237703539,43.0
NSR:Quay:11457,NSR:Quay:11959,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,31,43,1261.4173429788214,10.511811191490178,37.84252028936464,43.0
NSR:Quay:11959,NSR:Quay:11993,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,31,43,1173.2316797512535,9.77693066459378,35.19695039253761,43.0
NSR:Quay:11993,NSR:Quay:12016,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,396.61397359063255,6.610232893177209,23.796838415437954,43.0
NSR:Quay:11685,NSR:Quay:11731,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,7,43,718.053602964581,5.983780024704842,21.541608088937434,43.0
NSR:Quay:11731,NSR:Quay:11742,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,664.4830254448972,11.074717090748287,39.86898152669384,43.0
NSR:Quay:11742,NSR:Quay:12055,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,389.8503227650301,6.497505379417168,23.391019365901805,43.0
NSR:Quay:12055,NSR:Quay:12052,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,435.56915596258125,7.259485932709688,26.134149357754875,43.0
NSR:Quay:12052,NSR:Quay:12046,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,318.7994725309757,5.3133245421829285,19.12796835185854,43.0
NSR:Quay:12046,NSR:Quay:12041,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,336.4737544237783,5.6078959070629715,20.188425265426698,43.0
NSR:Quay:12041,NSR:Quay:12021,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,7,43,572.0410212051418,4.767008510042848,17.16123063615425,43.0
NSR:Quay:12021,NSR:Quay:12013,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,800.7462094491467,13.345770157485779,48.04477256694881,43.0
NSR:Quay:12013,NSR:Quay:11996,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,7,43,599.5808423753431,9.99301403958905,35.974850542520585,43.0
NSR:Quay:11996,NSR:Quay:12275,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,180.0,7,43,1134.9251687219414,6.305139826233008,22.69850337443883,43.0
NSR:Quay:12016,NSR:Quay:12022,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,12,43,792.7752636459517,6.606460530382931,23.783257909378552,43.0
