from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:11144,NSR:Quay:11205,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,,37,47
NSR:Quay:11205,NSR:Quay:11234,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11234,NSR:Quay:10402,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,180,37,47
NSR:Quay:10402,NSR:Quay:12273,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,37,47
NSR:Quay:12273,NSR:Quay:10284,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,180,37,47
NSR:Quay:8066,NSR:Quay:11598,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,180,24,43
NSR:Quay:11598,NSR:Quay:11592,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11592,NSR:Quay:11578,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11578,NSR:Quay:11608,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,24,43
NSR:Quay:11608,NSR:Quay:11688,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,180,24,43
NSR:Quay:11688,NSR:Quay:11712,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11712,NSR:Quay:11733,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:11733,NSR:Quay:11743,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11743,NSR:Quay:11861,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,180,24,43
NSR:Quay:11861,NSR:Quay:11049,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11049,NSR:Quay:104045,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:104045,NSR:Quay:11082,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11082,NSR:Quay:11085,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:11085,NSR:Quay:11064,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:11064,NSR:Quay:11015,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:11015,NSR:Quay:11001,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,24,43
NSR:Quay:11001,NSR:Quay:10964,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
