id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:10655,NSR:Quay:10655,Flaen,59.954703,10.868635,bus,bus
NSR:Quay:10698,NSR:Quay:10698,Ammerud,59.958252,10.875027,bus,bus
NSR:Quay:10739,NSR:Quay:10739,Grorudkrysset,59.959695,10.886319,bus,bus
NSR:Quay:10485,NSR:Quay:10485,Romsåsfoten,59.96077,10.89638,bus,bus
NSR:Quay:10478,NSR:Quay:10478,Sveiva,59.963713,10.901712,bus,bus
NSR:Quay:10526,NSR:Quay:10526,Rommi,59.966876,10.908592,bus,bus
NSR:Quay:10534,NSR:Quay:10534,Bånkallstubben,59.973234,10.918771,bus,bus
NSR:Quay:10539,NSR:Quay:10539,Tokerudbekken,59.976054,10.92803,bus,bus
NSR:Quay:11983,NSR:Quay:11983,Oslo bussterminal,59.911647,10.759543,bus,bus
NSR:Quay:11125,NSR:Quay:11125,Fyrstikktorget,59.914728,10.800864,bus,bus
NSR:Quay:11121,NSR:Quay:11121,Valle,59.917938,10.798919,bus,bus
NSR:Quay:11114,NSR:Quay:11114,Gladengveien,59.9199,10.794126,bus,bus
NSR:Quay:11070,NSR:Quay:11070,Hasle,59.923478,10.792517,bus,bus
NSR:Quay:11080,NSR:Quay:11080,Haslevangen,59.925734,10.795607,bus,bus
NSR:Quay:10835,NSR:Quay:10835,Økern T,59.92845,10.806507,bus,bus
NSR:Quay:10865,NSR:Quay:10865,Risløkkalléen,59.93054,10.822552,bus,bus
NSR:Quay:98652,NSR:Quay:98652,Brobekkveien,59.931347,10.829985,bus,bus
NSR:Quay:11453,NSR:Quay:11453,Alnabruveien,59.923961,10.835845,bus,bus
NSR:Quay:11446,NSR:Quay:11446,Alna senter,59.927254,10.846438,bus,bus
NSR:Quay:11442,NSR:Quay:11442,Alfaset,59.930915,10.856037,bus,bus
NSR:Quay:10396,NSR:Quay:10396,Alfasetveien,59.937247,10.858658,bus,bus
NSR:Quay:10771,NSR:Quay:10771,Nedre Kalbakkvei,59.942855,10.85924,bus,bus
NSR:Quay:10757,NSR:Quay:10757,Bredtvet,59.94623,10.863266,bus,bus
NSR:Quay:10669,NSR:Quay:10669,Kalbakkstubben,59.95024,10.866291,bus,bus
NSR:Quay:10301,NSR:Quay:10301,Furuset skole,59.938012,10.891735,bus,bus
NSR:Quay:10380,NSR:Quay:10380,Trosterudkrysset,59.929404,10.865993,bus,bus
NSR:Quay:11231,NSR:Quay:11231,Ulvenkrysset,59.918964,10.816483,bus,bus
NSR:Quay:11213,NSR:Quay:11213,Teisenkrysset,59.917728,10.811757,bus,bus
NSR:Quay:11131,NSR:Quay:11131,Helsfyr T,59.913031,10.799925,"bus,coach service",multimodal
